,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
0,Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop,food,Bronx,-73.84720052054901,New York
1,Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop,food,Bronx,-73.84720052054901,New York
2,Wakefield,40.894705176609996,-73.84720052054901,Walgreens,40.896528,-73.8447,Pharmacy,shops,Bronx,-73.84720052054901,New York
3,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.896649,-73.8448461,Pharmacy,shops,Bronx,-73.84720052054901,New York
4,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop,food,Bronx,-73.84720052054901,New York
5,Wakefield,40.894705176609996,-73.84720052054901,Shell,40.894187118166535,-73.84586195733382,Gas Station,shops,Bronx,-73.84720052054901,New York
6,Wakefield,40.894705176609996,-73.84720052054901,Subway,40.89046821651127,-73.8491520209833,Sandwich Place,food,Bronx,-73.84720052054901,New York
7,Wakefield,40.894705176609996,-73.84720052054901,Central Deli,40.896728,-73.844387,Deli / Bodega,food,Bronx,-73.84720052054901,New York
8,Wakefield,40.894705176609996,-73.84720052054901,Koss Quick Wash,40.891281,-73.84990400000001,Laundromat,shops,Bronx,-73.84720052054901,New York
9,Co-op City,40.87429419303012,-73.829939108124,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place,food,Bronx,-73.829939108124,New York
10,Co-op City,40.87429419303012,-73.829939108124,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store,shops,Bronx,-73.829939108124,New York
11,Co-op City,40.87429419303012,-73.829939108124,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy,shops,Bronx,-73.829939108124,New York
12,Co-op City,40.87429419303012,-73.829939108124,Mattress Firm,40.87223414329722,-73.8286072661231,Mattress Store,shops,Bronx,-73.829939108124,New York
13,Co-op City,40.87429419303012,-73.829939108124,Bagels on Bartow,40.87028,-73.828611,Bagel Shop,food,Bronx,-73.829939108124,New York
14,Co-op City,40.87429419303012,-73.829939108124,Baskin-Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop,food,Bronx,-73.829939108124,New York
15,Co-op City,40.87429419303012,-73.829939108124,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store,shops,Bronx,-73.829939108124,New York
16,Co-op City,40.87429419303012,-73.829939108124,Arby's,40.8704113,-73.828606,Fast Food Restaurant,food,Bronx,-73.829939108124,New York
17,Co-op City,40.87429419303012,-73.829939108124,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant,food,Bronx,-73.829939108124,New York
