,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
4473,Murray Hill,40.748303077252174,-73.97833207924127,Ippodo Tea Co.,40.749757350648515,-73.9777326596245,Tea Room,food,Queens,-73.81276269135866,New York
4475,Murray Hill,40.748303077252174,-73.97833207924127,Kajitsu,40.74976283974211,-73.97768769032828,Japanese Restaurant,food,Queens,-73.81276269135866,New York
4477,Murray Hill,40.748303077252174,-73.97833207924127,Perk Kafe,40.747768,-73.977363,Coffee Shop,food,Queens,-73.81276269135866,New York
4479,Murray Hill,40.748303077252174,-73.97833207924127,Sons of Thunder,40.74797027402464,-73.97575060170206,Hawaiian Restaurant,food,Queens,-73.81276269135866,New York
4481,Murray Hill,40.748303077252174,-73.97833207924127,Shake Shack,40.74966574698551,-73.97571869830242,Burger Joint,food,Queens,-73.81276269135866,New York
4483,Murray Hill,40.748303077252174,-73.97833207924127,The Morgan Library & Museum,40.74930521896097,-73.9814293384552,Museum,arts_entertainment,Queens,-73.81276269135866,New York
4485,Murray Hill,40.748303077252174,-73.97833207924127,Sushi Ryusei,40.748354,-73.97520300000001,Sushi Restaurant,food,Queens,-73.81276269135866,New York
4487,Murray Hill,40.748303077252174,-73.97833207924127,"The Renwick Hotel, Curio Collection by Hilton",40.7504022,-73.9778216,Hotel,travel,Queens,-73.81276269135866,New York
4489,Murray Hill,40.748303077252174,-73.97833207924127,City Beer,40.7486191,-73.97570259999999,Bar,nightlife,Queens,-73.81276269135866,New York
4491,Murray Hill,40.748303077252174,-73.97833207924127,Little Alley,40.747326320874585,-73.9770164277044,Shanghai Restaurant,food,Queens,-73.81276269135866,New York
4493,Murray Hill,40.748303077252174,-73.97833207924127,Sarge's Delicatessen & Diner,40.74726357893965,-73.97705848354722,Jewish Restaurant,food,Queens,-73.81276269135866,New York
4495,Murray Hill,40.748303077252174,-73.97833207924127,Num Pang Sandwich Shop,40.750522,-73.976124,Sandwich Place,food,Queens,-73.81276269135866,New York
4497,Murray Hill,40.748303077252174,-73.97833207924127,Lucid Cafe,40.748754,-73.977916,Coffee Shop,food,Queens,-73.81276269135866,New York
4499,Murray Hill,40.748303077252174,-73.97833207924127,Bareburger,40.746151934915,-73.97813209894593,Burger Joint,food,Queens,-73.81276269135866,New York
4501,Murray Hill,40.748303077252174,-73.97833207924127,Shelburne Hotel & Suites by Affinia,40.74841927463572,-73.97793978452682,Hotel,travel,Queens,-73.81276269135866,New York
4503,Murray Hill,40.748303077252174,-73.97833207924127,Murray Hill Market,40.74639457940594,-73.97966102783904,Deli / Bodega,food,Queens,-73.81276269135866,New York
4505,Murray Hill,40.748303077252174,-73.97833207924127,Katagiri,40.75087050808319,-73.9767551161243,Grocery Store,shops,Queens,-73.81276269135866,New York
4507,Murray Hill,40.748303077252174,-73.97833207924127,Zucker's Bagels & Smoked Fish,40.75053251798501,-73.97686735767212,Bagel Shop,food,Queens,-73.81276269135866,New York
4509,Murray Hill,40.748303077252174,-73.97833207924127,Oaxaca Taqueria,40.74546552439759,-73.97940322262632,Taco Place,food,Queens,-73.81276269135866,New York
4511,Murray Hill,40.748303077252174,-73.97833207924127,Delectica,40.74811642380029,-73.9764454132702,Café,food,Queens,-73.81276269135866,New York
4513,Murray Hill,40.748303077252174,-73.97833207924127,Sophie's Cuban Cuisine,40.75056331810922,-73.97663563349062,Cuban Restaurant,food,Queens,-73.81276269135866,New York
4515,Murray Hill,40.748303077252174,-73.97833207924127,European Wax Center,40.74537922208471,-73.97718323153906,Health & Beauty Service,shops,Queens,-73.81276269135866,New York
