,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
4631,Chelsea,40.744034706747975,-74.00311633472813,Milk & Hops Chelsea,40.74475130697248,-74.00259535094713,Beer Bar,nightlife,Staten Island,-74.18956045519691,New York
4633,Chelsea,40.744034706747975,-74.00311633472813,Billy's Bakery,40.74537356166141,-74.00211935705546,Cupcake Shop,food,Staten Island,-74.18956045519691,New York
4635,Chelsea,40.744034706747975,-74.00311633472813,Bathtub Gin,40.74363822116563,-74.00328979578983,Speakeasy,nightlife,Staten Island,-74.18956045519691,New York
4637,Chelsea,40.744034706747975,-74.00311633472813,Atlantic Theater Company (Linda Gross Theater),40.74395338025244,-74.00147596546887,Theater,arts_entertainment,Staten Island,-74.18956045519691,New York
4639,Chelsea,40.744034706747975,-74.00311633472813,La Bergamote,40.74473277780703,-74.00272928216968,Café,food,Staten Island,-74.18956045519691,New York
4641,Chelsea,40.744034706747975,-74.00311633472813,The Joyce Theater,40.74282949551689,-74.00053351452509,Theater,arts_entertainment,Staten Island,-74.18956045519691,New York
4643,Chelsea,40.744034706747975,-74.00311633472813,Buddakan,40.74211957525603,-74.00461189502685,Chinese Restaurant,food,Staten Island,-74.18956045519691,New York
4645,Chelsea,40.744034706747975,-74.00311633472813,The Meatball Shop,40.74598847169323,-74.0016855226974,Italian Restaurant,food,Staten Island,-74.18956045519691,New York
4647,Chelsea,40.744034706747975,-74.00311633472813,Chelsea Market,40.74218163954094,-74.00530109029536,Market,shops,Staten Island,-74.18956045519691,New York
4649,Chelsea,40.744034706747975,-74.00311633472813,Intelligentsia Coffee,40.745925923501794,-74.00537634340776,Coffee Shop,food,Staten Island,-74.18956045519691,New York
4651,Chelsea,40.744034706747975,-74.00311633472813,The High Line Hotel,40.74592369192379,-74.00538872501843,Hotel,travel,Staten Island,-74.18956045519691,New York
4653,Chelsea,40.744034706747975,-74.00311633472813,Cookshop,40.745730534382005,-74.00559552616573,American Restaurant,food,Staten Island,-74.18956045519691,New York
4655,Chelsea,40.744034706747975,-74.00311633472813,High Line 10th Ave Amphitheatre,40.74398136118615,-74.00684429247669,Scenic Lookout,parks_outdoors,Staten Island,-74.18956045519691,New York
4657,Chelsea,40.744034706747975,-74.00311633472813,Lobster Place,40.7427146347602,-74.00610709313153,Fish Market,shops,Staten Island,-74.18956045519691,New York
4659,Chelsea,40.744034706747975,-74.00311633472813,Los Tacos No. 1,40.74224400629671,-74.00596115738153,Taco Place,food,Staten Island,-74.18956045519691,New York
4661,Chelsea,40.744034706747975,-74.00311633472813,Cull & Pistol,40.742597962060664,-74.00607834860813,Seafood Restaurant,food,Staten Island,-74.18956045519691,New York
4663,Chelsea,40.744034706747975,-74.00311633472813,16 Handles,40.7428716,-74.0000421,Ice Cream Shop,food,Staten Island,-74.18956045519691,New York
4665,Chelsea,40.744034706747975,-74.00311633472813,Ample Hills Creamery,40.74159361678268,-74.00137484794685,Ice Cream Shop,food,Staten Island,-74.18956045519691,New York
4667,Chelsea,40.744034706747975,-74.00311633472813,Los Mariscos,40.74199972810892,-74.00589003225507,Seafood Restaurant,food,Staten Island,-74.18956045519691,New York
4669,Chelsea,40.744034706747975,-74.00311633472813,Food Network,40.74314064624714,-74.00666188736636,Office,building,Staten Island,-74.18956045519691,New York
4671,Chelsea,40.744034706747975,-74.00311633472813,St Kilda Coffee,40.743854,-73.99977,Coffee Shop,food,Staten Island,-74.18956045519691,New York
4673,Chelsea,40.744034706747975,-74.00311633472813,City Cakes,40.74199157708896,-74.00008876782016,Cupcake Shop,food,Staten Island,-74.18956045519691,New York
4675,Chelsea,40.744034706747975,-74.00311633472813,Dickson's Farmstand Meats,40.74227108754212,-74.00608626786385,Butcher,shops,Staten Island,-74.18956045519691,New York
4677,Chelsea,40.744034706747975,-74.00311633472813,Westville Chelsea,40.74196304002314,-74.0000471919283,American Restaurant,food,Staten Island,-74.18956045519691,New York
4679,Chelsea,40.744034706747975,-74.00311633472813,Serge Normant @ John Frieda,40.74584996678158,-73.99993854690909,Health & Beauty Service,shops,Staten Island,-74.18956045519691,New York
4681,Chelsea,40.744034706747975,-74.00311633472813,Lollino,40.744642,-74.002467,Ice Cream Shop,food,Staten Island,-74.18956045519691,New York
4683,Chelsea,40.744034706747975,-74.00311633472813,SoulCycle Chelsea,40.74364685388176,-74.00709341571361,Cycle Studio,shops,Staten Island,-74.18956045519691,New York
4685,Chelsea,40.744034706747975,-74.00311633472813,High Line,40.746825,-74.005507,Park,parks_outdoors,Staten Island,-74.18956045519691,New York
4687,Chelsea,40.744034706747975,-74.00311633472813,Pearl River Mart,40.74273528364315,-74.00651833752173,Market,shops,Staten Island,-74.18956045519691,New York
4689,Chelsea,40.744034706747975,-74.00311633472813,Dream Downtown,40.7420877,-74.0036235,Hotel,travel,Staten Island,-74.18956045519691,New York
4691,Chelsea,40.744034706747975,-74.00311633472813,Foragers Table,40.74470851504796,-73.99917564000135,American Restaurant,food,Staten Island,-74.18956045519691,New York
4693,Chelsea,40.744034706747975,-74.00311633472813,Spear Physical Therapy,40.74108213646308,-74.00144358737771,Physical Therapist,building,Staten Island,-74.18956045519691,New York
4695,Chelsea,40.744034706747975,-74.00311633472813,Equinox Highline,40.74370943522512,-74.00697437112993,Gym,building,Staten Island,-74.18956045519691,New York
4697,Chelsea,40.744034706747975,-74.00311633472813,David Zwirner Gallery,40.74573378670139,-74.00707622631501,Art Gallery,arts_entertainment,Staten Island,-74.18956045519691,New York
4699,Chelsea,40.744034706747975,-74.00311633472813,Fabrique Bakery,40.74071741996957,-74.00472226819986,Bakery,food,Staten Island,-74.18956045519691,New York
